name,latitude,longitude,is_similar
kbyJYJzqEVkEmpc,13.02286004,77.68891136,0
qbgufTPzZEkxNHV,13.09367482,77.70277883,0
XWIXkuyDacCmsaE,12.90287865,77.63320683,0
PWMPzEhgQSIJFtLl,12.8645325,77.7314355,1
PWMPzEhgQSIJFtL,12.86532117,77.731473,1
MHveToenbpcMPeW,13.07045602,77.61095505,0
WItnvWIntfoiilf,13.00235581,77.68354834,0
DPjNIjFDGUdRaNP,12.9826549,77.59337744,0
SMLuzwDVgJxZDJm,13.06528184,77.47249963,0
vAbbuCYbFLCXICj,12.99046323,77.67294948,0
rLfczOfLhEoRnGZ,12.90993785,77.68557472,0
edieHBeImKgBQAJ,12.93895913,77.46586954,0
GOwLhWmXEfYOmVX,12.90129114,77.67374439,0
orOQKFbRAoHeqcJ,12.88925228,77.59694537,0
CdWAxHeYVjKBRoq,13.09373823,77.71307804,0
lqKiDFBZBTWUez,12.9832613,77.67860108,1
lqKiDFBZBTWXUez,12.98372613,77.67840868,1
eNmJDTcGphYUOiL,12.90105405,77.72835217,0
sjislLxiXZmXLXrA,12.87368879,77.50616776,1
sjislLxiXZmXLXr,12.87407949,77.50552922,1
PMiOQVrAkdXaIku,12.99914347,77.62427096,0
tnbuHQPEFCTHbM,12.9908439,77.54405971,1
KtnbuHQPEFCTHbM,12.99117668,77.54470054,1
XLAftyVglwWYsGW,12.91219248,77.73902379,0
rZxvAzqBqmxjOvp,13.08241912,77.497992,0
zQDGraifUKPvJXrh,12.91248614,77.71990941,1
zQDGraifUKPvJXr,12.91209029,77.7206106,1
nDUUMkFmhvWSeKA,12.99938553,77.52447073,0
pTSAacswfCkLTrH,12.87880896,77.59037238,0
LnDIkeWZGiDzBbG,12.95153959,77.47294797,0
ChJfRzoluYXLLJA,12.88827506,77.60459364,0
SwTyWHAtgBNNwyO,12.98394737,77.65270791,0
kpkmIKHoUVIufgD,12.9889333,77.61358867,0
IcpEXtdzmmRLCWr,12.87866622,77.58388551,0
AjpQlKTWzTIbhZR,12.99508017,77.65264226,0
fsJxXgslhutMiTc,12.897211,77.54057681,0
KdyidcbCRDnYnmN,12.87863063,77.61571364,0
QFXbeahTXokzxXE,12.86595646,77.73823206,0
IcDAjGOxTMfSHPF,13.0092438,77.47278516,0
TVAaGCcKLfPKBSc,13.03836496,77.65188766,0
ZqYiEiXtnNdnMQd,12.89039654,77.5117872,0
skziWqCsJpYkKUr,13.05053952,77.56446451,0
EzXfmMXrcmOPODa,13.0945611,77.70123553,0
osLsWAOQUdGDZYQ,12.99680431,77.67688771,0
xaxGBTpqceCpeQo,13.08241774,77.48956202,0
vowfjrCAhFjsuFU,13.09463521,77.67534984,0
sTPYKDcRDklHquz,13.06009716,77.52928022,0
hERpHEmvMnatBqq,12.95768668,77.44905194,0
lwzJQhDNjFeZaGu,13.0839943,77.64385893,0
ZtGYasvPbFraLKt,12.94126663,77.45607967,0
scHiTOxyvnkkeoK,13.07936441,77.54146126,0
kDCpRTCvAAxSHki,12.92046669,77.46194735,0
IiUaIKLepwZKsK,12.91042244,77.59244421,1
IiUaIKLepwZlKsK,12.91128729,77.59196144,1
YThcnZeITZSBWti,13.06170419,77.46981109,0
UGMWtjvSRqgJVnG,13.01752895,77.62423508,0
OUidkjxBLedTuHH,13.04162785,77.72598449,0
izdTHTBEbYaEgOX,13.03365163,77.71765686,0
PUEPIdrCLOanVoe,12.99804691,77.62951875,0
AHzXGncOYekvbc,12.90672149,77.70340274,1
AHzXGncOYekMvbc,12.90589412,77.70314404,1
wUimqZxiywwEpgW,12.87009716,77.56142216,0
WmrWTJjSeoDNKrY,13.05255403,77.72506752,0
PSKniQjkACaYDAF,12.85464227,77.51795987,0
ldVvnlZYRRQIARe,13.00623614,77.6487661,0
zXFOuQMpUCQNvwN,13.00147581,77.55459404,0
cfCcavzCtxehzgB,13.01635107,77.7140458,0
bYYGjWYrhFUbeMw,13.09147894,77.64326137,0
RDRnTMfmYfSiWLa,12.87342627,77.59219469,0
DkRreiaFouYeugQi,13.02865939,77.50803626,1
DkRreiaFouYeugQ,13.02849588,77.50866651,1
UhTpjPyNxMNPLTu,12.96433664,77.61389929,0
ZMBcVAKMKMvEWGe,13.08047196,77.54533922,0
FJPspVZZjtCpGhD,12.96395796,77.58372001,0
VVYyShvmxawkABS,12.99987048,77.55501223,0
FtLcazuLGZorHIp,12.90432594,77.56540886,0
QXhfUHXfnEuMLzK,12.86915746,77.55454983,0
MOevNigvbIPFlIw,12.90516803,77.53557985,0
yedOHCLujmIAmrw,12.87589629,77.53438208,0
yEBaScGavnPNhaO,12.98390381,77.67301246,0
gbxCPStfxHtqGPj,12.89011083,77.69536264,0
xUkXBAtfaYztalY,12.86661776,77.70629123,0
LkdKFkvwYOizHhG,13.07524687,77.67856557,0
aXvBGKUTNkPDxiFC,12.98073315,77.5255609,1
aXvBGKUTNkPDxiF,12.98167558,77.52547079,1
SdxKQfPDkfXEQK,12.9300119,77.64535691,1
SGdxKQfPDkfXEQK,12.92977862,77.64581473,1
rkWeIcJsMGhJvVj,12.90985126,77.58992159,0
faGJXWFYNHSPmtc,12.92943032,77.50693087,0
QZWPyfoWhsGVegx,12.96152179,77.57741533,0
gimvnlEtvGcieTP,12.85855872,77.51094535,0
kUeXLNDvRBgMgJ,12.90268571,77.46886737,1
kUeXLNDkvRBgMgJ,12.90363218,77.46820674,1
zMnIJyjWeDzIiFN,12.92184234,77.69292737,0
JJppBmEBESHHEKM,12.97348296,77.60259963,0
iLozbVApJSXmlET,12.88619366,77.73511735,0
qRkXfDsDXmkPhiV,13.06470297,77.49609752,0
djfMAJHQMwctzlr,12.86597709,77.71936637,0
aTVCnxWtroJHYze,12.90899347,77.56406846,0
KUDVyRreQFprfGM,13.05255686,77.49718136,0
oghZJueuCoOVFFb,12.88511467,77.5295542,0
qwyZbldyIiMwAtX,13.09523598,77.7012832,0
mdwjLVCzawRJRbF,12.98897033,77.66838579,0
ubwcOdJpSzYjTsq,12.95573753,77.61363584,0
tjMQLReAgmwYMHS,13.0622491,77.51225827,0
WVmetzSiurfiAUL,12.91256116,77.4526941,0
ozDTqvwhYQBROfD,13.05794787,77.49674734,0
kevkYpwoeByGkFr,12.94299412,77.54395973,0
dMUDcoSkcZbFKdV,12.87697772,77.65820071,0
kAbqVgEBpxFnneeo,12.96097507,77.57004912,1
kAbqVgEBpxFnnee,12.96141321,77.57019867,1
lTtlymCLWsWZWsVq,12.87696321,77.73722145,1
lTtlymCLWsWZWsV,12.87673497,77.73676928,1
iBRAngLgCvBRSdG,13.02433908,77.56113474,0
OQwFZvRDfaPmST,13.02359602,77.61059259,1
OQwFZvRDfaXPmST,13.0229522,77.61072906,1
phXvLqAWrLDZhtd,12.88268889,77.66603176,0
UHFkwweTReUSDKq,12.98506841,77.64400192,0
NibgfyKYxNWbeKLg,12.91328486,77.64198737,1
NibgfyKYxNWbeKL,12.91389187,77.64292344,1
qJppelDtodtuwlS,13.06542173,77.6967317,0
oUvkVqDnWziwqkHa,12.86031539,77.71437757,1
oUvkVqDnWziwqkH,12.85951774,77.71387691,1
gJCMWixYCxiCsRi,12.89060617,77.45334686,0
AFqPgmEocwIFzLt,13.02030556,77.54426001,0
ToRGkjGtfriNKrG,13.07633664,77.50825743,0
uSpRTMsPPxpYrXYN,12.89346796,77.46530154,1
uSpRTMsPPxpYrXY,12.8930565,77.46607831,1
FWnMoObNBQumEbF,12.99260036,77.62052875,0
LXeVIjVTvcHGAuR,13.04168761,77.64935555,0
VbKDuThUkVhCEke,13.07860616,77.7223663,0
jpwlGIswRSROHnHt,13.04131613,77.55980603,1
jpwlGIswRSROHnH,13.04137554,77.55885516,1
iULvrIPjlCxIbaS,12.88775625,77.5365935,0
dqBETBbjtnmCjfyH,12.98860048,77.5720966,1
dqBETBbjtnmCjfy,12.9887294,77.57301755,1
nLZxHFpewcAGrx,12.863799,77.64452529,1
nLZxHFpbewcAGrx,12.86385784,77.64525981,1
uvzKVBQcyXHtZVW,13.07281791,77.6962507,0
QzpbfuMOwCwbYwA,12.92404671,77.53196518,0
SHOpYBxDzUqDXVC,12.99388132,77.49047282,0
ppNmjapNRDwzKSG,12.85577323,77.46353823,0
VDpxVLdUJWsrQRd,13.0165377,77.66186594,0
NIhGiaebgXkNTXz,12.90344896,77.61073602,0
vbzvUUZmcsYlSNW,12.99692542,77.60442642,0
tKPqearmjjeXJKF,12.86043553,77.68204501,0
tQJDehlAWgvqTVj,12.94638308,77.73090427,0
YlJipaMJEgYDLGL,12.85566093,77.70590251,0
sybMQAzuUVMldcW,12.92319608,77.73550459,0
